job title,languages,age,location,salary,salary_category,genders
IT Analysis,Java,38,Iloilo,51412,Mid Level,Nonbinary
Computer Support,Java,30,Aklan,34495,Junior,Male
Web Development,JavaScript,30,Kalinga,39615,Junior,Male
Technology Sales,JavaScript,30,Cotabato,33890,Junior,Male
Web Development,HTML/CSS,30,Sorsogon,54316,Mid Level,Female
Cloud Engineering,JavaScript,42,Misamis Occidental,53354,Mid Level,Male
Web Development,Java,30,Camarines Sur,43216,Mid Level,Male
Web Development,Python,30,Davao Oriental,29990,Junior,Female
Database Administration,Python,51,Maguindanao del Norte,53613,Mid Level,Male
Computer Support,Java,30,Misamis Occidental,34802,Junior,Male
Software Development,SQL,30,Zamboanga Sibugay,44059,Mid Level,Male
Computer Support,Java,30,Pangasinan,27786,Junior,Male
Web Designer,JavaScript,20,Capiz,29413,Junior,Male
Software Development,SQL,26,Batangas,41202,Mid Level,Male
IT Analysis,Ruby,37,Bohol,56543,Mid Level,Male
Computer Support,Ruby,30,Albay,20810,Junior,Male
Software Development,SQL,34,Davao Oriental,94425,Senior,Male
Software Development,Ruby,33,Sarangani,41354,Mid Level,Male
Software Development,JavaScript,33,Bukidnon,97613,Senior,Nonbinary
Software Development,JavaScript,29,Aklan,71595,Senior,Female
Computer Support,HTML/CSS,30,Sorsogon,27709,Junior,Male
Web Development,JavaScript,30,Quirino,48061,Mid Level,Male
Computer Support,SQL,30,Maguindanao del Sur,36197,Junior,Male
Cloud Engineering,JavaScript,37,Abra,45798,Mid Level,Male
Network Engineering,Ruby,36,Agusan del Norte,70897,Senior,Male
Web Development,HTML/CSS,30,Surigao del Norte,31406,Junior,Nonbinary
Computer Support,JavaScript,30,Zamboanga Sibugay,28480,Junior,Female
Web Development,Python,30,Isabela,50920,Mid Level,Male
Web Development,Python,30,Lanao del Sur,50214,Mid Level,Male
Software Development,Ruby,32,Davao del Norte,81468,Senior,Male
Network Engineering,Java,40,Zamboanga del Sur,70760,Senior,Female
Helpdesk Manager,R,54,Bulacan,58316,Mid Level,Male
Information Security,HTML/CSS,56,Negros Occidental,88587,Senior,Nonbinary
Computer Support,JavaScript,30,Bukidnon,26892,Junior,Male
Software Development,C++,31,Isabela,45841,Mid Level,Male
Software Development,Java,25,Tarlac,89404,Senior,Male
Database Administration,JavaScript,45,Catanduanes,69818,Mid Level,Female
Software Development,C++,34,Zamboanga del Sur,35042,Junior,Male
Information Security,R,62,Mountain Province,115737,Executive,Male
Database Administration,Python,59,Sultan Kudarat,67618,Mid Level,Female
Technology Sales,JavaScript,30,Rizal,43963,Mid Level,Male
Computer Support,R,30,Aklan,33518,Junior,Male
Computer Support,Ruby,30,Misamis Oriental,39620,Junior,Male
Computer Support,JavaScript,30,Zambales,20477,Junior,Male
Network Engineering,Ruby,37,Basilan,49601,Mid Level,Male
Web Development,JavaScript,30,Batangas,39071,Junior,Male
Information Security,JavaScript,45,Negros Oriental,95983,Senior,Female
IT Sales Executive,SQL,29,Camiguin,33285,Junior,Female
IT Analysis,Java,37,Ilocos Sur,52870,Mid Level,Female
Technology Sales,R,30,Albay,44570,Mid Level,Male
Software Development,Java,25,Sarangani,58661,Mid Level,Male
IT Analysis,Ruby,42,Northern Samar,67777,Mid Level,Male
Computer Support,Ruby,30,Sarangani,20282,Junior,Male
Web Development,C++,30,Agusan del Sur,36401,Junior,Female
IT Analysis,Python,40,Sarangani,51928,Mid Level,Male
IT Sales Executive,Python,33,Agusan del Norte,43346,Mid Level,Female
Software Development,Ruby,27,Northern Samar,55632,Mid Level,Male
Network Engineering,JavaScript,43,Sarangani,60679,Mid Level,Male
Helpdesk Manager,Java,56,Maguindanao del Norte,66969,Mid Level,Male
Software Development,JavaScript,25,Camiguin,38265,Junior,Male
IT Analysis,Python,37,Cavite,67264,Mid Level,Female
Helpdesk Manager,HTML/CSS,50,Occidental Mindoro,57051,Mid Level,Female
Database Administration,JavaScript,52,South Cotabato,53391,Mid Level,Nonbinary
Software Development,PHP,28,Bohol,88464,Senior,Nonbinary
Helpdesk Manager,HTML/CSS,49,Capiz,67075,Mid Level,Nonbinary
Web Development,Java,30,Nueva Vizcaya,52190,Mid Level,Male
Computer Support,Swift,30,Camiguin,34575,Junior,Male
IT Analysis,SQL,43,Camiguin,58344,Mid Level,Male
Technology Sales,SQL,30,Agusan del Sur,34502,Junior,Male
Software Development,Java,30,Albay,46031,Mid Level,Male
Cloud Engineering,JavaScript,41,La Union,68760,Mid Level,Female
Computer Support,R,30,Lanao del Sur,19225,Entry Level,Male
Information Security,JavaScript,48,Davao del Norte,72507,Senior,Male
Technology Sales,JavaScript,30,Sorsogon,29482,Junior,Nonbinary
IT Analysis,SQL,38,Batangas,58926,Mid Level,Male
Computer Support,Ruby,30,Masbate,22221,Junior,Male
Web Development,Ruby,30,South Cotabato,33747,Junior,Male
IT Sales Executive,R,28,Albay,36567,Junior,Female
Web Development,HTML/CSS,30,Bulacan,39561,Junior,Female
Information Security,JavaScript,59,Maguindanao del Norte,65517,Mid Level,Female
Software Development,SQL,29,Samar,43954,Mid Level,Male
Web Development,Ruby,30,Maguindanao del Norte,51767,Mid Level,Male
Web Designer,JavaScript,22,Sultan Kudarat,38175,Junior,Male
Web Designer,Python,18,Bulacan,36245,Junior,Male
Web Development,Python,30,Apayao,44897,Mid Level,Male
Information Security,Swift,46,Nueva Ecija,66922,Mid Level,Nonbinary
Web Development,Java,30,La Union,36407,Junior,Male
Web Development,SQL,30,Bohol,48021,Mid Level,Male
Computer Support,Python,30,Batanes,22204,Junior,Female
Network Engineering,JavaScript,41,Antique,81682,Senior,Male
Information Security,HTML/CSS,61,Kalinga,137347,Executive,Female
Computer Support,Swift,30,Sorsogon,19408,Entry Level,Male
Web Development,Python,30,Cebu,48794,Mid Level,Male
IT Sales Executive,R,25,Tarlac,51639,Mid Level,Male
IT Analysis,HTML/CSS,38,Isabela,52108,Mid Level,Male
Computer Support,JavaScript,30,Agusan del Sur,29023,Junior,Nonbinary
Information Security,JavaScript,46,Aurora,131653,Executive,Male
Web Designer,R,20,Bohol,26970,Junior,Male
IT Analysis,PHP,36,Lanao del Norte,63950,Mid Level,Male
Software Development,Java,25,Camarines Norte,88263,Senior,Male
Software Development,Java,34,Agusan del Sur,53055,Mid Level,Male
IT Analysis,Ruby,36,Samar,59562,Mid Level,Male
Software Development,PHP,31,Pampanga,45208,Mid Level,Female
Web Development,Python,30,Camiguin,55052,Mid Level,Male
Network Engineering,Ruby,43,La Union,77206,Senior,Male
Network Engineering,JavaScript,40,Ilocos Sur,64749,Mid Level,Female
Database Administration,Ruby,46,Surigao del Sur,42866,Mid Level,Female
Computer Support,JavaScript,30,Negros Occidental,30035,Junior,Male
Cloud Engineering,JavaScript,44,Ifugao,82580,Senior,Male
Web Development,Python,30,Camarines Norte,30928,Junior,Male
IT Analysis,JavaScript,44,Albay,40496,Mid Level,Male
Computer Support,Python,30,Cebu,35598,Junior,Male
Network Engineering,JavaScript,43,Zamboanga del Sur,45458,Mid Level,Male
Software Development,Java,31,Antique,68662,Mid Level,Female
Computer Support,C++,30,Ilocos Sur,36439,Junior,Nonbinary
Information Security,PHP,61,Negros Oriental,70458,Senior,Female
IT Analysis,Java,43,Zamboanga del Sur,68102,Mid Level,Female
Network Engineering,Java,36,Zambales,61796,Mid Level,Male
IT Analysis,Ruby,38,Camiguin,50541,Mid Level,Male
Software Development,Swift,33,Albay,44942,Mid Level,Male
Technology Sales,JavaScript,30,Mountain Province,38687,Junior,Female
IT Sales Executive,JavaScript,28,Cotabato,57938,Mid Level,Nonbinary
Computer Support,JavaScript,30,Cebu,32925,Junior,Male
Web Development,SQL,30,Bukidnon,47347,Mid Level,Male
Computer Support,SQL,30,Leyte,21901,Junior,Female
IT Sales Executive,JavaScript,27,Camarines Norte,49057,Mid Level,Female
Helpdesk Manager,Python,45,Camarines Sur,55265,Mid Level,Male
Web Development,Ruby,30,Surigao del Sur,40940,Mid Level,Nonbinary
Network Engineering,Python,41,Biliran,50319,Mid Level,Male
Software Development,Ruby,30,Dinagat Islands,88466,Senior,Male
Database Administration,HTML/CSS,54,Benguet,82980,Senior,Female
Database Administration,HTML/CSS,60,Camarines Norte,72525,Senior,Female
IT Analysis,HTML/CSS,38,Zamboanga Sibugay,56870,Mid Level,Female
Computer Support,Java,30,Occidental Mindoro,39981,Junior,Male
Helpdesk Manager,C++,57,Maguindanao del Sur,74746,Senior,Male
IT Sales Executive,HTML/CSS,28,Davao Oriental,65821,Mid Level,Male
Network Engineering,Ruby,40,Romblon,52077,Mid Level,Male
Web Development,JavaScript,30,Ilocos Norte,34397,Junior,Male
Web Development,R,30,Iloilo,41948,Mid Level,Male
Software Development,JavaScript,34,Maguindanao del Sur,73499,Senior,Male
Helpdesk Manager,C++,55,Camarines Sur,65274,Mid Level,Male
Helpdesk Manager,Ruby,47,Laguna,56819,Mid Level,Male
Software Development,Java,28,Samar,59878,Mid Level,Male
Network Engineering,JavaScript,44,Davao de Oro,58652,Mid Level,Male
Computer Support,Python,30,Zamboanga Sibugay,37740,Junior,Male
IT Analysis,Java,35,Ilocos Norte,43775,Mid Level,Male
Helpdesk Manager,Python,64,Misamis Occidental,56874,Mid Level,Male
Network Engineering,C++,44,Zambales,33309,Junior,Nonbinary
Computer Support,Ruby,30,Rizal,25252,Junior,Female
Computer Support,PHP,30,Zamboanga del Sur,34397,Junior,Female
Network Engineering,Python,44,Palawan,39896,Junior,Male
Computer Support,Python,30,Batangas,32493,Junior,Male
IT Analysis,Python,43,Cavite,65762,Mid Level,Male
Database Administration,Ruby,52,Sulu,51922,Mid Level,Female
Software Development,PHP,28,Zambales,31979,Junior,Male
Network Engineering,JavaScript,41,Camarines Sur,38694,Junior,Male
IT Analysis,Ruby,44,Ifugao,43304,Mid Level,Male
Software Development,Swift,27,Cavite,69306,Mid Level,Male
IT Analysis,R,43,Zamboanga del Norte,36144,Junior,Female
Web Development,C++,30,Davao Oriental,29452,Junior,Male
Software Development,SQL,34,Zamboanga del Norte,56897,Mid Level,Female
Network Engineering,JavaScript,38,La Union,52667,Mid Level,Nonbinary
Cloud Engineering,JavaScript,36,Davao Oriental,86726,Senior,Nonbinary
Network Engineering,Ruby,44,Davao del Sur,41848,Mid Level,Male
Database Administration,Java,62,Negros Occidental,63948,Mid Level,Male
Computer Support,Swift,30,Catanduanes,28825,Junior,Male
Web Development,Ruby,30,Davao de Oro,41987,Mid Level,Male
Web Development,HTML/CSS,30,Davao Oriental,44317,Mid Level,Nonbinary
IT Analysis,JavaScript,44,Tarlac,58273,Mid Level,Male
Web Designer,SQL,23,Misamis Occidental,43432,Mid Level,Male
Technology Sales,C++,30,Maguindanao del Norte,34527,Junior,Male
Helpdesk Manager,JavaScript,55,Maguindanao del Sur,57456,Mid Level,Female
Network Engineering,HTML/CSS,44,Maguindanao del Sur,70360,Senior,Male
Software Development,Ruby,25,Romblon,86271,Senior,Female
Information Security,JavaScript,58,Romblon,117981,Executive,Male
Network Engineering,Java,40,Benguet,60849,Mid Level,Female
Information Security,R,48,Samar,74466,Senior,Male
IT Analysis,JavaScript,37,Pangasinan,53767,Mid Level,Male
Software Development,Python,26,Zamboanga del Norte,40717,Mid Level,Male
Web Development,HTML/CSS,30,Surigao del Sur,50116,Mid Level,Female
Computer Support,HTML/CSS,30,Marinduque,36126,Junior,Male
Network Engineering,JavaScript,41,Zamboanga Sibugay,85394,Senior,Male
IT Analysis,SQL,43,Maguindanao del Norte,43764,Mid Level,Female
IT Sales Executive,JavaScript,27,Southern Leyte,43473,Mid Level,Male
IT Sales Executive,HTML/CSS,30,Agusan del Sur,50418,Mid Level,Male
IT Sales Executive,C++,33,Aurora,56476,Mid Level,Male
Technology Sales,JavaScript,30,Samar,26854,Junior,Male
Computer Support,Java,30,Misamis Occidental,35326,Junior,Male
IT Sales Executive,JavaScript,26,Quezon,59604,Mid Level,Male
Technology Sales,Python,30,Zamboanga del Sur,26925,Junior,Female
Web Designer,Ruby,24,Davao Oriental,44839,Mid Level,Male
Web Designer,Java,22,Davao del Sur,48315,Mid Level,Nonbinary
Cloud Engineering,JavaScript,39,Zambales,98321,Senior,Male
Web Development,Python,30,Aklan,34717,Junior,Female
Technology Sales,JavaScript,30,Camiguin,52416,Mid Level,Male
Cloud Engineering,C++,41,Oriental Mindoro,105756,Executive,Female
Web Development,Python,30,Basilan,49330,Mid Level,Male
IT Analysis,SQL,43,Leyte,65416,Mid Level,Female
Database Administration,Java,48,Abra,66272,Mid Level,Male
IT Sales Executive,C++,33,Zamboanga del Norte,36805,Junior,Male
Software Development,JavaScript,34,Laguna,97182,Senior,Male
Network Engineering,JavaScript,43,Zamboanga del Sur,39926,Junior,Male
Computer Support,Python,30,Occidental Mindoro,30983,Junior,Male
Network Engineering,Java,38,Nueva Vizcaya,46806,Mid Level,Female
Web Designer,JavaScript,20,Basilan,41613,Mid Level,Female
Computer Support,JavaScript,30,Rizal,28879,Junior,Female
Information Security,SQL,46,Guimaras,86397,Senior,Female
Helpdesk Manager,C++,53,Isabela,55671,Mid Level,Male
Software Development,SQL,26,Maguindanao del Sur,91513,Senior,Male
Software Development,Python,30,Albay,47975,Mid Level,Female
Software Development,Swift,29,Iloilo,94584,Senior,Male
Web Development,Java,30,Kalinga,51732,Mid Level,Male
Web Development,SQL,30,Masbate,45024,Mid Level,Male
Software Development,Java,29,Aklan,54862,Mid Level,Male
Software Development,Python,28,Misamis Occidental,71953,Senior,Male
Cloud Engineering,C++,40,Romblon,103924,Executive,Male
IT Sales Executive,Ruby,29,Antique,33268,Junior,Male
Information Security,Ruby,48,Laguna,79002,Senior,Female
Information Security,JavaScript,53,Maguindanao del Norte,134980,Executive,Female
Software Development,JavaScript,30,Batangas,80819,Senior,Female
Network Engineering,Python,44,Basilan,54880,Mid Level,Male
Software Development,JavaScript,34,Bohol,68307,Mid Level,Female
Software Development,Python,34,Pampanga,77826,Senior,Female
Helpdesk Manager,HTML/CSS,63,Southern Leyte,56179,Mid Level,Male
Web Development,JavaScript,30,Surigao del Norte,53335,Mid Level,Female
Technology Sales,Python,30,Davao del Sur,45231,Mid Level,Male
Computer Support,Ruby,30,La Union,32680,Junior,Female
Network Engineering,Ruby,44,Dinagat Islands,59849,Mid Level,Male
Computer Support,Java,30,Tarlac,21967,Junior,Male
Information Security,Ruby,50,Abra,131458,Executive,Nonbinary
Database Administration,JavaScript,61,Quezon,90492,Senior,Male
Web Development,Swift,30,Albay,56425,Mid Level,Male
Network Engineering,PHP,39,Ifugao,75393,Senior,Female
Computer Support,Python,30,Maguindanao del Sur,29080,Junior,Female
Computer Support,Ruby,30,Aurora,28077,Junior,Female
Cloud Engineering,Java,44,Bukidnon,79274,Senior,Male
Web Development,JavaScript,30,Northern Samar,37115,Junior,Female
Computer Support,JavaScript,30,Lanao del Norte,35927,Junior,Male
Database Administration,Python,50,Zamboanga del Norte,63215,Mid Level,Female
Software Development,Python,32,Romblon,31685,Junior,Male
IT Analysis,JavaScript,43,Leyte,53658,Mid Level,Male
Network Engineering,Ruby,37,Bohol,73759,Senior,Female
Computer Support,Python,30,Batanes,22258,Junior,Female
Computer Support,Java,30,Misamis Oriental,21053,Junior,Male
Database Administration,HTML/CSS,62,Cavite,83512,Senior,Female
Database Administration,Ruby,48,Davao del Sur,45949,Mid Level,Male
Network Engineering,Swift,42,Benguet,59982,Mid Level,Male
Software Development,Python,32,Surigao del Norte,51403,Mid Level,Male
Web Designer,C++,20,Surigao del Norte,32832,Junior,Nonbinary
Information Security,Ruby,64,Albay,83081,Senior,Nonbinary
Web Development,Swift,30,Laguna,47155,Mid Level,Nonbinary
Software Development,Swift,27,Catanduanes,74530,Senior,Male
Web Development,JavaScript,30,Ilocos Norte,50764,Mid Level,Male
Technology Sales,Java,30,Rizal,50915,Mid Level,Male
Computer Support,Python,30,Zambales,29925,Junior,Male
Computer Support,Java,30,Siquijor,25198,Junior,Male
Web Designer,Java,19,Laguna,32107,Junior,Male
Cloud Engineering,JavaScript,36,Antique,110836,Executive,Male
Software Development,HTML/CSS,28,Negros Oriental,73541,Senior,Male
Technology Sales,R,30,Zambales,38077,Junior,Male
IT Analysis,JavaScript,40,Zamboanga del Sur,51683,Mid Level,Male
IT Analysis,PHP,39,Sulu,67421,Mid Level,Female
Web Development,Ruby,30,Nueva Ecija,49683,Mid Level,Male
Database Administration,Java,63,Negros Oriental,49700,Mid Level,Male
Software Development,SQL,26,Camarines Sur,32156,Junior,Female
Network Engineering,C++,43,Aklan,62671,Mid Level,Male
Web Development,Swift,30,Zamboanga del Sur,44424,Mid Level,Female
IT Sales Executive,Java,25,Laguna,53171,Mid Level,Male
Software Development,R,33,Lanao del Norte,57120,Mid Level,Male
Database Administration,Java,61,Eastern Samar,48415,Mid Level,Nonbinary
Network Engineering,Python,41,Mountain Province,52806,Mid Level,Male
Technology Sales,Swift,30,Lanao del Norte,44374,Mid Level,Male
IT Analysis,JavaScript,40,Occidental Mindoro,46496,Mid Level,Female
Web Development,Python,30,Ilocos Norte,38831,Junior,Female
Software Development,JavaScript,31,Abra,43090,Mid Level,Male
Computer Support,SQL,30,Ilocos Norte,32641,Junior,Female
Computer Support,JavaScript,30,Northern Samar,29387,Junior,Male
Computer Support,Python,30,Cotabato,32740,Junior,Female
Computer Support,Ruby,30,Sarangani,35706,Junior,Female
Cloud Engineering,Java,37,Davao Occidental,44579,Mid Level,Nonbinary
Software Development,JavaScript,27,Negros Occidental,73776,Senior,Male
Information Security,JavaScript,45,Zamboanga Sibugay,98539,Senior,Male
Computer Support,C++,30,Agusan del Norte,30050,Junior,Nonbinary
Information Security,R,48,Eastern Samar,109490,Executive,Male
Information Security,Swift,62,Pangasinan,100647,Executive,Female
IT Analysis,Swift,44,Camarines Norte,51570,Mid Level,Female
Technology Sales,Ruby,30,Cavite,30565,Junior,Female
Technology Sales,JavaScript,30,Aurora,37979,Junior,Female
Network Engineering,Swift,42,Basilan,61374,Mid Level,Female
Network Engineering,Ruby,37,Zamboanga del Sur,66096,Mid Level,Nonbinary
Computer Support,Swift,30,Romblon,22356,Junior,Male
Technology Sales,Ruby,30,Laguna,22112,Junior,Nonbinary
Network Engineering,Swift,41,Sorsogon,67971,Mid Level,Nonbinary
Information Security,Ruby,50,Bataan,128903,Executive,Male
Cloud Engineering,JavaScript,35,Agusan del Sur,118916,Executive,Male
Network Engineering,Java,42,Bataan,63008,Mid Level,Female
IT Analysis,PHP,35,Davao Occidental,40571,Mid Level,Female
Computer Support,Ruby,30,Catanduanes,32253,Junior,Male
Network Engineering,JavaScript,37,Sorsogon,69377,Mid Level,Female
Computer Support,Ruby,30,Agusan del Norte,32763,Junior,Male
Network Engineering,Ruby,39,Negros Oriental,38613,Junior,Female
IT Sales Executive,JavaScript,32,Capiz,42038,Mid Level,Male
Network Engineering,Python,43,Apayao,65130,Mid Level,Male
Technology Sales,Ruby,30,Albay,33696,Junior,Female
Network Engineering,HTML/CSS,41,Oriental Mindoro,86550,Senior,Male
Information Security,PHP,55,Cotabato,59474,Mid Level,Male
Database Administration,JavaScript,63,Lanao del Norte,59795,Mid Level,Male
IT Sales Executive,SQL,29,Davao del Norte,51767,Mid Level,Male
Technology Sales,Python,30,Bataan,41479,Mid Level,Female
Web Designer,C++,19,Ilocos Sur,41987,Mid Level,Nonbinary
IT Sales Executive,Python,32,Sultan Kudarat,64004,Mid Level,Female
IT Analysis,JavaScript,35,Surigao del Sur,43484,Mid Level,Nonbinary
Computer Support,JavaScript,30,Siquijor,26690,Junior,Male
Computer Support,JavaScript,30,Tarlac,35109,Junior,Male
Computer Support,R,30,Abra,32880,Junior,Female
Computer Support,JavaScript,30,Davao del Sur,21845,Junior,Nonbinary
Software Development,PHP,32,Bataan,89615,Senior,Male
Computer Support,C++,30,Laguna,22425,Junior,Male
Web Development,JavaScript,30,Agusan del Norte,35826,Junior,Male
Cloud Engineering,Swift,41,Ifugao,90055,Senior,Female
Computer Support,Python,30,Guimaras,32718,Junior,Male
Software Development,C++,25,Biliran,75616,Senior,Male
Web Development,Python,30,Guimaras,50736,Mid Level,Male
Computer Support,Python,30,Ilocos Norte,34677,Junior,Male
Software Development,Ruby,34,Nueva Vizcaya,44183,Mid Level,Male
Network Engineering,Ruby,44,Tarlac,65497,Mid Level,Nonbinary
Helpdesk Manager,Java,50,Pangasinan,64440,Mid Level,Male
Software Development,Ruby,25,Misamis Occidental,64562,Mid Level,Male
Software Development,Java,26,Davao Occidental,78273,Senior,Male
Web Development,R,30,Davao del Sur,35580,Junior,Female
IT Analysis,Python,39,Iloilo,54136,Mid Level,Female
Software Development,R,26,Ifugao,88402,Senior,Male
Software Development,JavaScript,34,Davao Occidental,92878,Senior,Male
Web Designer,PHP,18,Ilocos Sur,25004,Junior,Male
Technology Sales,SQL,30,Zamboanga del Norte,26482,Junior,Female
Technology Sales,R,30,Camarines Norte,43632,Mid Level,Male
Software Development,Java,30,Sulu,38175,Junior,Female
Web Development,Java,30,Benguet,41857,Mid Level,Female
IT Sales Executive,JavaScript,32,Bohol,60316,Mid Level,Male
Cloud Engineering,Python,42,Palawan,79254,Senior,Male
Technology Sales,Python,30,Cebu,27123,Junior,Female
Software Development,Python,32,Davao del Sur,37546,Junior,Male
Software Development,Python,30,Sarangani,72794,Senior,Female
Computer Support,PHP,30,Cavite,30138,Junior,Female
IT Sales Executive,JavaScript,27,Guimaras,40687,Mid Level,Female
Information Security,JavaScript,45,Zamboanga del Norte,65104,Mid Level,Male
Cloud Engineering,Java,36,Occidental Mindoro,54182,Mid Level,Male
Web Development,SQL,30,Pampanga,38185,Junior,Nonbinary
Helpdesk Manager,Java,49,Capiz,48694,Mid Level,Female
Technology Sales,Python,30,Quezon,26445,Junior,Female
Computer Support,JavaScript,30,Leyte,29894,Junior,Male
IT Sales Executive,Ruby,34,Siquijor,59555,Mid Level,Male
Computer Support,Python,30,Antique,30684,Junior,Female
Web Development,R,30,Sultan Kudarat,39900,Junior,Female
IT Sales Executive,SQL,29,Tarlac,56982,Mid Level,Male
IT Sales Executive,SQL,34,Basilan,28483,Junior,Male
Network Engineering,JavaScript,35,Antique,44194,Mid Level,Female
Network Engineering,C++,35,Quirino,69424,Mid Level,Male
Technology Sales,JavaScript,30,Guimaras,25594,Junior,Female
Web Development,R,30,Benguet,36442,Junior,Nonbinary
Web Development,JavaScript,30,Basilan,42463,Mid Level,Male
Software Development,JavaScript,33,Guimaras,36252,Junior,Male
Software Development,Python,26,La Union,50043,Mid Level,Female
Software Development,Java,31,Aurora,61590,Mid Level,Female
Software Development,Ruby,34,Guimaras,96605,Senior,Female
Computer Support,HTML/CSS,30,Benguet,25332,Junior,Male
Information Security,JavaScript,64,Isabela,113291,Executive,Female
Computer Support,JavaScript,30,Eastern Samar,25111,Junior,Male
Database Administration,JavaScript,51,Quirino,44141,Mid Level,Male
Technology Sales,Python,30,La Union,23738,Junior,Male
Helpdesk Manager,JavaScript,60,Isabela,54499,Mid Level,Female
Web Development,Swift,30,Quezon,38043,Junior,Female
Computer Support,SQL,30,Maguindanao del Norte,22517,Junior,Male
Computer Support,Ruby,30,Bataan,26138,Junior,Nonbinary
Software Development,C++,29,Zamboanga Sibugay,46509,Mid Level,Female
Network Engineering,Java,35,Zamboanga Sibugay,39123,Junior,Male
Computer Support,Python,30,Bataan,38520,Junior,Female
Computer Support,JavaScript,30,Cotabato,28353,Junior,Male
Software Development,JavaScript,28,Camiguin,74244,Senior,Nonbinary
Computer Support,Swift,30,Maguindanao del Sur,25802,Junior,Male
Cloud Engineering,Java,44,Oriental Mindoro,79212,Senior,Nonbinary
Software Development,JavaScript,27,Misamis Oriental,86257,Senior,Male
Computer Support,Java,30,Southern Leyte,22912,Junior,Nonbinary
Computer Support,Swift,30,Maguindanao del Sur,30313,Junior,Male
Web Designer,JavaScript,19,Leyte,35403,Junior,Nonbinary
Technology Sales,JavaScript,30,Zamboanga Sibugay,30631,Junior,Female
Technology Sales,JavaScript,30,Bataan,38203,Junior,Male
Software Development,Java,29,Zambales,64020,Mid Level,Male
IT Sales Executive,JavaScript,34,Davao de Oro,55074,Mid Level,Female
Web Designer,Swift,22,Tarlac,44963,Mid Level,Male
